emp_id,emp_name,dept_id,salary,hire_date
1,Eswar 1,10,33271,2021-11-10
2,Divya 2,8,83915,2024-04-18
3,Manoj 3,4,37302,2024-06-21
4,Arun 4,7,81723,2025-10-24
5,Arun 5,8,59908,2021-07-26
6,Yamini 6,2,66606,2019-05-06
7,Arun 7,1,110137,2025-01-26
8,Arun 8,7,114978,2021-06-06
9,Nisha 9,1,94157,2021-06-27
10,Praveen 10,8,97464,2021-08-12
11,Lakshmi 11,4,113715,2021-06-15
12,Praveen 12,5,27816,2023-09-01
13,Vijay 13,2,49367,2026-01-21
14,John 14,2,68607,2024-08-13
15,Nisha 15,9,112858,2021-02-16
16,John 16,5,102015,2024-08-07
17,Sneha 17,7,102201,2019-05-22
18,Rahul 18,4,77990,2023-08-25
19,Farah 19,6,96932,2023-03-15
20,Charan 20,8,112000,2024-09-13
21,Divya 21,3,93280,2023-05-30
22,Lakshmi 22,8,28876,2024-04-06
23,Bala 23,5,117193,2025-11-23
24,Yamini 24,10,76589,2026-04-04
25,Farah 25,3,90829,2021-07-18
26,Arun 26,4,95728,2025-02-23
27,Hari 27,7,92341,2022-11-09
28,Yamini 28,6,85179,2022-01-07
29,Vijay 29,10,25748,2023-04-21
30,Sneha 30,3,92984,2025-04-18
31,Gokul 31,7,32356,2024-05-24
32,Lakshmi 32,10,97666,2021-03-29
33,Sneha 33,7,88560,2023-01-01
34,Nisha 34,6,25207,2025-01-14
35,Vijay 35,10,105275,2022-09-18
36,Praveen 36,10,28666,2021-07-29
37,Farah 37,9,101606,2021-01-10
38,Charan 38,9,58461,2019-05-13
39,Charan 39,2,27187,2024-01-30
40,Arun 40,5,57710,2022-01-05
41,Divya 41,10,49197,2022-11-11
42,John 42,2,46950,2020-10-15
43,Indu 43,9,47039,2026-05-13
44,Indu 44,5,84598,2022-08-11
45,Rahul 45,8,39967,2019-04-07
46,John 46,7,70002,2023-09-21
47,Gokul 47,5,39255,2021-11-04
48,Sneha 48,4,104383,2023-11-04
49,Arun 49,4,27341,2023-06-16
50,Eswar 50,1,119219,2020-10-18
51,Praveen 51,9,113889,2023-10-14
52,Vijay 52,4,107676,2024-10-16
53,Praveen 53,4,93668,2026-04-10
54,Arun 54,7,113460,2025-06-16
55,Kavi 55,7,32705,2022-05-08
56,Eswar 56,4,31218,2022-06-08
57,Charan 57,2,65679,2022-05-05
58,Farah 58,7,99047,2021-10-30
59,Eswar 59,1,98494,2019-06-05
60,Yamini 60,4,99747,2024-03-02
61,Farah 61,10,91699,2019-06-03
62,Manoj 62,4,70472,2020-02-10
63,Gokul 63,10,113362,2023-11-09
64,Yamini 64,4,89533,2020-03-03
65,Manoj 65,5,91074,2024-08-09
66,Arun 66,6,105232,2023-07-06
67,John 67,1,45573,2021-04-02
68,Kavi 68,10,42713,2022-10-20
69,Nisha 69,4,59935,2020-01-30
70,Manoj 70,9,70069,2024-12-28
71,Rahul 71,9,55754,2019-09-25
72,Bala 72,2,42434,2020-11-26
73,Farah 73,9,52914,2022-01-02
74,Kavi 74,10,91307,2021-11-11
75,Lakshmi 75,6,69601,2020-04-11
76,John 76,4,104165,2024-06-25
77,Eswar 77,10,97243,2020-03-03
78,Kavi 78,1,78293,2019-10-27
79,Manoj 79,3,41386,2022-10-28
80,Divya 80,10,101992,2023-03-29
81,Charan 81,10,97125,2021-07-05
82,Yamini 82,2,59960,2023-02-03
83,John 83,10,95031,2020-04-13
84,Praveen 84,5,39120,2019-07-07
85,John 85,1,105435,2019-03-01
86,Charan 86,7,40086,2019-06-13
87,Gokul 87,4,101912,2023-09-21
88,Farah 88,2,84101,2020-11-16
89,Hari 89,3,38478,2023-11-18
90,Manoj 90,9,63538,2025-03-03
91,Indu 91,8,66216,2020-02-15
92,Gokul 92,6,30193,2019-04-22
93,Arun 93,5,103193,2022-08-04
94,Praveen 94,7,66062,2023-06-21
95,Charan 95,2,66595,2025-09-29
96,Praveen 96,2,57776,2021-05-31
97,Zara 97,9,115202,2024-04-04
98,Lakshmi 98,5,49015,2025-01-27
99,Gokul 99,5,51111,2021-10-06
100,Lakshmi 100,2,61803,2020-01-02
101,Praveen 101,2,110460,2025-06-10
102,Kavi 102,4,76180,2022-06-10
103,Bala 103,6,49485,2022-07-21
104,Yamini 104,5,57223,2022-10-01
105,Divya 105,9,105136,2025-06-29
106,Zara 106,2,57125,2021-06-20
107,Arun 107,4,77661,2019-10-24
108,Indu 108,9,34295,2019-11-04
109,Arun 109,1,63118,2023-01-11
110,Rahul 110,8,45208,2020-02-18
111,Sneha 111,6,35106,2024-09-16
112,Farah 112,3,44603,2020-08-02
113,Kavi 113,5,39008,2024-10-07
114,Zara 114,5,41554,2021-04-26
115,Eswar 115,9,119716,2019-05-11
116,Kavi 116,10,113106,2025-03-14
117,Gokul 117,3,64180,2023-11-08
118,Vijay 118,3,31364,2021-10-09
119,Indu 119,2,114401,2024-01-04
120,Nisha 120,9,57796,2025-01-26
121,Praveen 121,9,84416,2019-02-14
122,Manoj 122,6,47481,2021-11-22
123,Rahul 123,1,109730,2023-09-03
124,Yamini 124,1,33168,2022-12-24
125,Yamini 125,3,102797,2020-05-27
126,Eswar 126,5,61295,2023-06-18
127,Yamini 127,7,47567,2025-11-13
128,Charan 128,4,88700,2019-01-31
129,Farah 129,9,66581,2024-08-13
130,Praveen 130,4,56244,2022-07-05
131,Rahul 131,8,54499,2023-08-16
132,Kavi 132,9,105122,2026-04-30
133,Indu 133,4,31317,2019-10-21
134,Sneha 134,6,45901,2024-09-26
135,Gokul 135,5,64153,2022-05-12
136,Vijay 136,6,46650,2024-03-18
137,Zara 137,2,41153,2025-10-18
138,Sneha 138,10,74440,2020-12-23
139,Eswar 139,5,80935,2021-06-10
140,Yamini 140,1,89884,2023-06-01
141,Lakshmi 141,7,92509,2020-11-06
