recruit_id,candidate_name,position,interview_date,status
1,Candidate 1,Analyst,2025-05-03,Selected
2,Candidate 2,Analyst,2024-01-01,Pending
3,Candidate 3,HR,2025-07-06,Rejected
4,Candidate 4,Developer,2024-03-02,Pending
5,Candidate 5,Analyst,2025-06-24,Selected
6,Candidate 6,HR,2025-11-02,Pending
7,Candidate 7,Developer,2025-09-06,Pending
8,Candidate 8,Developer,2025-01-01,Pending
9,Candidate 9,Analyst,2025-06-07,Selected
10,Candidate 10,Analyst,2025-03-12,Rejected
11,Candidate 11,Tester,2024-01-10,Rejected
12,Candidate 12,Developer,2024-04-03,Selected
13,Candidate 13,Analyst,2024-12-01,Pending
14,Candidate 14,Tester,2024-10-27,Selected
15,Candidate 15,Analyst,2024-01-02,Rejected
16,Candidate 16,Developer,2025-10-10,Selected
17,Candidate 17,Analyst,2025-05-30,Pending
18,Candidate 18,Analyst,2025-08-30,Selected
19,Candidate 19,Developer,2025-09-06,Rejected
20,Candidate 20,Analyst,2024-03-06,Rejected
21,Candidate 21,Developer,2024-11-21,Rejected
22,Candidate 22,Developer,2024-02-04,Pending
23,Candidate 23,Developer,2025-07-24,Rejected
24,Candidate 24,Developer,2024-06-30,Pending
25,Candidate 25,Analyst,2025-07-10,Pending
26,Candidate 26,Developer,2024-10-18,Rejected
27,Candidate 27,Analyst,2024-06-21,Rejected
28,Candidate 28,Tester,2024-06-10,Selected
29,Candidate 29,HR,2024-11-26,Pending
30,Candidate 30,Tester,2025-09-26,Pending
31,Candidate 31,Tester,2024-10-08,Pending
32,Candidate 32,HR,2025-10-21,Rejected
33,Candidate 33,HR,2024-01-22,Selected
34,Candidate 34,HR,2024-10-05,Selected
35,Candidate 35,Tester,2025-02-20,Rejected
36,Candidate 36,Tester,2025-05-11,Pending
37,Candidate 37,Developer,2025-07-03,Selected
38,Candidate 38,Analyst,2025-03-24,Selected
39,Candidate 39,Developer,2024-05-04,Rejected
40,Candidate 40,Tester,2025-03-20,Pending
41,Candidate 41,HR,2024-10-01,Pending
42,Candidate 42,Developer,2024-12-27,Pending
43,Candidate 43,Tester,2024-12-07,Rejected
44,Candidate 44,Tester,2024-01-13,Pending
45,Candidate 45,Tester,2024-02-19,Selected
46,Candidate 46,HR,2024-11-15,Selected
47,Candidate 47,Tester,2024-03-21,Rejected
48,Candidate 48,Tester,2025-11-12,Pending
49,Candidate 49,Developer,2024-07-16,Rejected
50,Candidate 50,Developer,2024-03-24,Selected
51,Candidate 51,Developer,2024-10-28,Rejected
52,Candidate 52,Developer,2025-11-30,Pending
53,Candidate 53,HR,2024-03-21,Selected
54,Candidate 54,Developer,2024-07-10,Rejected
55,Candidate 55,Developer,2025-06-17,Pending
56,Candidate 56,Developer,2025-07-29,Rejected
57,Candidate 57,Analyst,2025-07-31,Selected
58,Candidate 58,Developer,2024-09-14,Pending
59,Candidate 59,Tester,2025-03-01,Pending
60,Candidate 60,Tester,2025-03-02,Selected
61,Candidate 61,Analyst,2025-05-23,Selected
62,Candidate 62,Developer,2024-07-20,Pending
63,Candidate 63,Analyst,2025-05-30,Selected
64,Candidate 64,Analyst,2024-08-21,Rejected
65,Candidate 65,Analyst,2025-05-02,Selected
66,Candidate 66,Tester,2024-03-23,Pending
67,Candidate 67,Analyst,2025-01-03,Rejected
68,Candidate 68,Tester,2024-07-11,Selected
69,Candidate 69,Tester,2024-04-15,Selected
70,Candidate 70,Developer,2025-08-09,Rejected
71,Candidate 71,Developer,2024-10-29,Selected
72,Candidate 72,HR,2025-01-16,Selected
73,Candidate 73,Analyst,2024-04-24,Selected
74,Candidate 74,HR,2024-07-22,Selected
75,Candidate 75,Analyst,2025-01-09,Selected
76,Candidate 76,Developer,2024-09-03,Pending
77,Candidate 77,Tester,2025-04-10,Selected
78,Candidate 78,Tester,2025-10-12,Selected
79,Candidate 79,Developer,2025-04-27,Selected
80,Candidate 80,HR,2025-11-21,Rejected
81,Candidate 81,Tester,2024-11-30,Rejected
82,Candidate 82,Developer,2025-01-05,Pending
83,Candidate 83,HR,2025-04-02,Selected
84,Candidate 84,Analyst,2024-06-15,Selected
85,Candidate 85,Developer,2024-06-16,Rejected
86,Candidate 86,HR,2024-08-28,Pending
87,Candidate 87,Analyst,2025-09-08,Rejected
88,Candidate 88,Developer,2025-08-20,Rejected
89,Candidate 89,Analyst,2024-03-14,Selected
90,Candidate 90,HR,2025-08-05,Pending
91,Candidate 91,HR,2025-04-30,Rejected
92,Candidate 92,HR,2025-10-16,Selected
93,Candidate 93,Tester,2025-10-02,Pending
94,Candidate 94,Tester,2024-03-03,Rejected
95,Candidate 95,Analyst,2025-07-26,Rejected
96,Candidate 96,Developer,2024-11-30,Selected
97,Candidate 97,Tester,2024-01-18,Rejected
98,Candidate 98,Tester,2025-03-22,Rejected
99,Candidate 99,Tester,2024-08-05,Pending
100,Candidate 100,Tester,2025-08-07,Rejected
101,Candidate 101,Developer,2024-05-31,Selected
102,Candidate 102,Analyst,2025-05-14,Rejected
103,Candidate 103,HR,2024-03-26,Rejected
104,Candidate 104,Analyst,2024-06-25,Selected
105,Candidate 105,Analyst,2025-06-03,Pending
106,Candidate 106,Developer,2024-09-29,Rejected
107,Candidate 107,Developer,2024-09-24,Rejected
108,Candidate 108,HR,2024-10-12,Rejected
109,Candidate 109,Analyst,2025-11-08,Pending
110,Candidate 110,Analyst,2025-09-23,Rejected
111,Candidate 111,Developer,2025-07-13,Pending
112,Candidate 112,HR,2025-01-21,Selected
113,Candidate 113,Analyst,2024-04-06,Rejected
114,Candidate 114,Developer,2024-10-31,Selected
115,Candidate 115,Developer,2024-06-03,Pending
116,Candidate 116,Developer,2025-10-24,Rejected
117,Candidate 117,Analyst,2024-08-28,Selected
118,Candidate 118,Analyst,2024-09-29,Rejected
119,Candidate 119,Analyst,2025-04-29,Selected
120,Candidate 120,Tester,2025-01-16,Rejected
121,Candidate 121,Developer,2025-01-22,Selected
122,Candidate 122,HR,2024-05-21,Pending
123,Candidate 123,Tester,2024-01-08,Rejected
124,Candidate 124,Analyst,2025-01-10,Selected
125,Candidate 125,Developer,2024-09-30,Selected
126,Candidate 126,Analyst,2024-12-14,Pending
127,Candidate 127,HR,2025-06-08,Pending
128,Candidate 128,Analyst,2024-04-23,Selected
129,Candidate 129,Tester,2024-10-10,Pending
130,Candidate 130,Analyst,2024-08-02,Rejected
131,Candidate 131,Analyst,2025-06-12,Selected
132,Candidate 132,Developer,2025-02-20,Rejected
133,Candidate 133,Tester,2025-09-18,Pending
134,Candidate 134,Tester,2024-06-26,Rejected
135,Candidate 135,HR,2024-04-20,Selected
136,Candidate 136,HR,2024-04-09,Pending
137,Candidate 137,HR,2024-11-14,Rejected
138,Candidate 138,Developer,2024-01-05,Selected
139,Candidate 139,HR,2024-04-08,Pending
140,Candidate 140,Analyst,2025-04-06,Pending
